iter	Logloss
0	0.6882118765
1	0.6817471149
2	0.6764992553
3	0.6713311585
4	0.6658945747
5	0.6600412245
6	0.6547511497
7	0.6502525654
8	0.6454643365
9	0.6408908676
10	0.6365373617
11	0.6310786118
12	0.6260483972
13	0.6205573903
14	0.6167906197
15	0.6116381079
16	0.6076019225
17	0.6037403752
18	0.5986371484
19	0.5938935327
20	0.5903284727
21	0.5851638943
22	0.581100233
23	0.5765021858
24	0.5720103009
25	0.5681193557
26	0.5642433278
27	0.5598863535
28	0.5560515284
29	0.5531602354
30	0.5489075983
31	0.5452066051
32	0.5415719677
33	0.5383897378
34	0.5346041921
35	0.5302866971
36	0.526619567
37	0.5226155324
38	0.519292304
39	0.5148915414
40	0.5113178811
41	0.5077833656
42	0.5043872365
43	0.5007945035
44	0.4979829525
45	0.4949636662
46	0.4916214712
47	0.4880889775
48	0.484437957
49	0.4812872311
50	0.4779550636
51	0.4743495311
52	0.4713112473
53	0.4688537613
54	0.4653179786
55	0.4623191821
56	0.4593141049
57	0.4560994772
58	0.4529821307
59	0.4495061304
60	0.4465000489
61	0.4429920023
62	0.440264571
63	0.4375998476
64	0.4351542915
65	0.4324729962
66	0.4302114601
67	0.4276597443
68	0.4250093601
69	0.4221850113
70	0.4195213785
71	0.4167085657
72	0.4145377411
73	0.4120317964
74	0.4098806852
75	0.4074941473
76	0.4055366876
77	0.4028766346
78	0.4007039193
79	0.3984970837
80	0.3962974887
81	0.3938992648
82	0.3912877747
83	0.3893932008
84	0.3870548724
85	0.3838486782
86	0.3813125157
87	0.3791122443
88	0.3773186204
89	0.3751444872
90	0.3728364942
91	0.3711146133
92	0.3689688077
93	0.3669980311
94	0.3649142697
95	0.3623467
96	0.3603303264
97	0.3577566252
98	0.3555639506
99	0.3540598606
100	0.3521573419
101	0.3500444145
102	0.3481495416
103	0.3463009702
104	0.3442088818
105	0.3424269967
106	0.3397264245
107	0.3382194968
108	0.3366389639
109	0.3352507617
110	0.3334869681
111	0.3320384736
112	0.3304214685
113	0.328911543
114	0.3266844277
115	0.3249937127
116	0.3236576899
117	0.3217498996
118	0.3201954239
119	0.3187085771
120	0.3166764648
121	0.3154807729
122	0.3145018987
123	0.3127693432
124	0.3112134203
125	0.3094668486
126	0.3080162032
127	0.3065019071
128	0.3049922287
129	0.3039419642
130	0.3021884131
131	0.3009489713
132	0.2994392457
133	0.2988409973
134	0.2977420905
135	0.2961863534
136	0.2947630772
137	0.2929570789
138	0.2914842236
139	0.2899756568
140	0.2887280294
141	0.2873732451
142	0.2858284354
143	0.2844961237
144	0.2831356499
145	0.2819254887
146	0.2804405245
147	0.2790373949
148	0.2776903298
149	0.2762222808
150	0.2749567654
151	0.2737924206
152	0.2725765434
153	0.2712490049
154	0.2698347384
155	0.2687964678
156	0.2676326855
157	0.2666233084
158	0.2653428944
159	0.2638772779
160	0.2627908792
161	0.261799565
162	0.2606709546
163	0.2597745909
164	0.2585596625
165	0.2576040638
166	0.2565998852
167	0.2556185831
168	0.2546754998
169	0.2535555334
170	0.2525679764
171	0.2514405579
172	0.2502754282
173	0.2491070507
174	0.2479907234
175	0.2473485069
176	0.2465161325
177	0.2458264029
178	0.2446854681
179	0.2437927068
180	0.2428456488
181	0.2419771046
182	0.2408565486
183	0.2398632091
184	0.2386640808
185	0.2376503693
186	0.2368827055
187	0.2360398054
188	0.2353060617
189	0.2348168782
190	0.2339709175
191	0.2329373764
192	0.2318843253
193	0.2311490363
194	0.230379716
195	0.2296014481
196	0.2288233749
197	0.2282628445
198	0.2271660596
199	0.2262060146
200	0.2253163168
201	0.2242568255
202	0.2232855881
203	0.2225475606
204	0.2215514048
205	0.2207185751
206	0.2200775563
207	0.2192267567
208	0.2185240859
209	0.2176252166
210	0.2169228949
211	0.2161386142
212	0.2154595308
213	0.2147016798
214	0.2138980629
215	0.2133777693
216	0.2126184292
217	0.2122065537
218	0.2114323137
219	0.2106854727
220	0.2101660054
221	0.2095798289
222	0.2085870923
223	0.2077169327
224	0.2070082988
225	0.2062933692
226	0.2058098307
227	0.2051494387
228	0.2046970643
229	0.2041869409
230	0.2034129952
231	0.2025877607
232	0.2017038055
233	0.2010614962
234	0.2001618161
235	0.19941942
236	0.1987465155
237	0.1979857078
238	0.1973285715
239	0.1967098086
240	0.1962890377
241	0.1957361154
242	0.1950108292
243	0.1944087604
244	0.193708982
245	0.1929732352
246	0.1924928502
247	0.1919300229
248	0.1913087707
249	0.1908762955
250	0.1901529222
251	0.1894606348
252	0.1888148232
253	0.1883824377
254	0.1878129101
255	0.1872547941
256	0.1867259169
257	0.1859629321
258	0.185404268
259	0.1846027325
260	0.1839885301
261	0.1833428812
262	0.1828552665
263	0.182324135
264	0.1819051581
265	0.1814515216
266	0.1810174254
267	0.1805844038
268	0.1802122309
269	0.1797320747
