iter	Passed	Remaining
0	55	55385
1	57	28747
2	59	19878
3	62	15455
4	64	12861
5	66	11050
6	68	9759
7	70	8798
8	73	8053
9	74	7345
10	76	6854
11	79	6516
12	81	6174
13	83	5878
14	85	5622
15	87	5396
16	89	5201
17	92	5030
18	94	4866
19	96	4742
20	99	4617
21	101	4511
22	103	4409
23	106	4321
24	108	4249
25	111	4181
26	113	4099
27	116	4027
28	118	3957
29	120	3888
30	122	3825
31	124	3770
32	127	3730
33	129	3683
34	131	3635
35	134	3589
36	136	3543
37	138	3501
38	140	3466
39	143	3435
40	145	3396
41	147	3360
42	149	3327
43	151	3294
44	153	3262
45	155	3230
46	158	3213
47	160	3185
48	162	3160
49	165	3135
50	167	3109
51	169	3086
52	171	3064
53	173	3044
54	176	3030
55	178	3008
56	180	2990
57	183	2972
58	185	2953
59	187	2936
60	189	2924
61	192	2908
62	194	2891
63	196	2873
64	198	2855
65	200	2841
66	203	2831
67	206	2827
68	209	2821
69	211	2812
70	213	2795
71	216	2794
72	219	2792
73	223	2797
74	226	2788
75	228	2778
76	230	2768
77	233	2758
78	235	2748
79	239	2749
80	241	2740
81	244	2732
82	246	2725
83	248	2709
84	250	2697
85	252	2688
86	255	2682
87	257	2672
88	260	2661
89	262	2651
90	264	2640
91	266	2628
92	268	2618
93	271	2615
94	273	2605
95	275	2595
96	277	2585
97	279	2575
98	282	2566
99	284	2557
100	287	2554
101	289	2545
102	291	2537
103	293	2528
104	295	2519
105	297	2509
106	299	2500
107	302	2494
108	304	2491
109	306	2483
110	308	2474
111	311	2466
112	313	2457
113	315	2449
114	317	2443
115	320	2441
116	322	2433
117	324	2426
118	326	2419
119	329	2413
120	331	2405
121	333	2402
122	336	2398
123	338	2390
124	340	2383
125	342	2376
126	345	2371
127	347	2364
128	349	2358
129	352	2356
130	354	2349
131	356	2343
132	358	2335
133	359	2322
134	361	2314
135	363	2308
136	365	2302
137	368	2299
138	370	2293
139	372	2288
140	374	2281
141	376	2275
142	378	2269
143	380	2264
144	383	2261
145	385	2256
146	387	2250
147	389	2245
148	392	2239
149	394	2233
150	396	2229
151	399	2226
152	401	2222
153	403	2216
154	405	2211
155	407	2205
156	409	2199
157	411	2194
158	414	2192
159	416	2189
160	419	2186
161	421	2182
162	424	2177
163	426	2171
164	428	2167
165	430	2164
166	433	2159
167	435	2154
168	437	2150
169	439	2144
170	441	2139
171	443	2134
172	445	2130
173	448	2127
174	450	2123
175	452	2118
176	454	2113
177	456	2109
178	458	2104
179	461	2100
180	464	2100
181	466	2096
182	468	2092
183	470	2087
184	472	2083
185	474	2078
186	477	2073
187	479	2073
188	482	2068
189	484	2064
190	486	2060
191	488	2056
192	490	2052
193	492	2047
194	495	2044
195	497	2042
196	500	2038
197	502	2034
198	504	2029
199	506	2025
200	508	2021
201	510	2018
202	513	2015
203	515	2011
204	517	2007
205	519	2004
206	522	2001
207	524	1997
208	527	1995
209	529	1993
210	531	1989
211	534	1985
212	536	1981
213	538	1977
214	540	1973
215	542	1970
216	545	1968
217	547	1964
218	549	1960
219	551	1957
220	554	1952
221	556	1949
222	558	1946
223	561	1943
224	563	1940
225	565	1936
226	567	1932
227	569	1928
228	571	1925
229	573	1921
230	576	1919
231	578	1915
232	580	1912
233	582	1908
234	585	1904
235	587	1901
236	589	1897
237	591	1894
238	594	1892
239	596	1888
240	598	1885
241	600	1881
242	602	1877
243	604	1874
244	607	1871
245	610	1870
246	612	1866
247	614	1863
248	616	1860
249	619	1857
250	621	1854
251	623	1851
252	626	1849
253	629	1849
254	631	1845
255	633	1842
256	636	1838
257	638	1835
258	640	1833
259	643	1831
260	645	1827
261	647	1824
262	649	1821
263	651	1817
264	654	1814
265	657	1813
266	659	1809
267	661	1806
268	663	1802
269	665	1798
270	667	1795
271	669	1792
272	672	1790
273	675	1788
274	677	1785
275	679	1781
276	681	1778
277	683	1775
278	685	1771
279	690	1775
280	692	1772
281	695	1771
282	698	1768
283	700	1766
284	703	1765
285	706	1763
286	708	1760
287	710	1757
288	712	1754
289	715	1750
290	717	1747
291	719	1743
292	721	1741
293	724	1738
294	726	1735
295	728	1732
296	730	1728
297	732	1725
298	734	1722
299	737	1721
300	739	1718
301	741	1714
302	743	1711
303	746	1708
304	748	1704
305	750	1701
306	752	1699
307	755	1696
308	757	1693
309	759	1690
310	761	1687
311	763	1684
312	765	1680
313	767	1677
314	770	1675
315	772	1672
316	774	1669
317	776	1666
318	778	1662
319	781	1659
320	783	1656
321	786	1656
322	789	1654
323	791	1652
324	794	1649
325	796	1647
326	799	1644
327	801	1642
328	805	1643
329	808	1641
330	812	1641
331	815	1640
332	819	1641
333	823	1641
334	825	1639
335	828	1636
336	830	1633
337	832	1631
338	835	1629
339	837	1626
340	839	1623
341	842	1619
342	844	1617
343	846	1613
344	848	1610
345	851	1608
346	853	1605
347	855	1602
348	857	1599
349	859	1596
350	861	1592
351	863	1589
352	866	1587
353	868	1585
354	870	1582
355	872	1579
356	875	1576
357	877	1573
358	879	1569
359	881	1567
360	884	1565
361	886	1562
362	888	1559
363	890	1556
364	893	1553
365	895	1550
366	897	1548
367	900	1545
368	902	1543
369	904	1539
370	906	1537
371	908	1534
372	910	1531
373	913	1528
374	916	1527
375	918	1524
376	920	1520
377	922	1517
378	924	1514
379	926	1511
380	928	1508
381	931	1506
382	933	1503
383	934	1499
384	937	1497
385	939	1494
386	941	1491
387	943	1488
388	945	1485
389	948	1484
390	950	1481
391	953	1478
392	955	1475
393	957	1472
394	959	1469
395	961	1466
396	965	1466
397	967	1463
398	969	1460
399	972	1458
400	974	1456
401	977	1454
402	981	1453
403	984	1452
404	986	1449
405	988	1446
406	991	1443
407	993	1440
408	995	1438
409	997	1436
410	1000	1433
411	1002	1430
412	1004	1427
413	1006	1424
414	1008	1421
415	1011	1419
416	1013	1417
417	1015	1414
418	1018	1411
419	1020	1409
420	1022	1406
421	1024	1403
422	1027	1401
423	1029	1399
424	1032	1396
425	1034	1393
426	1036	1391
427	1038	1388
428	1040	1385
429	1043	1383
430	1046	1381
431	1048	1378
432	1050	1375
433	1052	1372
434	1054	1369
435	1056	1366
436	1058	1364
437	1061	1361
438	1063	1359
439	1065	1356
440	1067	1353
441	1069	1350
442	1071	1347
443	1073	1344
444	1076	1342
445	1078	1340
446	1080	1337
447	1083	1334
448	1085	1331
449	1086	1327
450	1088	1325
451	1090	1322
452	1093	1320
453	1095	1317
454	1097	1315
455	1100	1312
456	1102	1309
457	1104	1306
458	1107	1304
459	1109	1302
460	1112	1300
461	1114	1297
462	1116	1294
463	1118	1291
464	1120	1289
465	1122	1286
466	1125	1284
467	1127	1281
468	1129	1279
469	1131	1276
470	1133	1273
471	1136	1270
472	1138	1268
473	1141	1266
474	1143	1263
475	1145	1261
476	1148	1258
477	1150	1256
478	1152	1253
479	1154	1250
480	1157	1248
481	1159	1245
482	1161	1243
483	1163	1240
484	1165	1237
485	1167	1235
486	1170	1232
487	1172	1230
488	1175	1227
489	1177	1225
490	1179	1222
491	1181	1219
492	1183	1217
493	1185	1214
494	1188	1212
495	1190	1210
496	1192	1207
497	1195	1204
498	1197	1202
499	1199	1199
500	1201	1196
501	1204	1194
502	1206	1192
503	1208	1189
504	1211	1187
505	1213	1184
506	1215	1181
507	1217	1179
508	1220	1177
509	1223	1175
510	1225	1173
511	1228	1170
512	1230	1168
513	1233	1166
514	1236	1164
515	1239	1162
516	1241	1160
517	1244	1157
518	1247	1155
519	1249	1153
520	1251	1151
521	1255	1149
522	1257	1146
523	1259	1144
524	1262	1142
525	1264	1139
526	1266	1136
527	1269	1134
528	1271	1132
529	1273	1129
530	1275	1126
531	1277	1124
532	1279	1121
533	1282	1118
534	1283	1115
535	1286	1113
536	1288	1111
537	1290	1108
538	1292	1105
539	1295	1103
540	1297	1100
541	1299	1097
542	1302	1096
543	1304	1093
544	1306	1091
545	1308	1088
546	1311	1085
547	1313	1083
548	1315	1080
549	1318	1078
550	1320	1076
551	1322	1073
552	1324	1070
553	1327	1068
554	1329	1065
555	1331	1063
556	1334	1061
557	1336	1058
558	1338	1056
559	1340	1053
560	1343	1050
561	1345	1048
562	1347	1045
563	1350	1043
564	1352	1041
565	1354	1038
566	1356	1035
567	1358	1033
568	1360	1030
569	1362	1027
570	1365	1025
571	1367	1023
572	1370	1020
573	1372	1018
574	1374	1015
575	1376	1013
576	1378	1010
577	1381	1008
578	1383	1006
579	1385	1003
580	1387	1000
581	1390	998
582	1392	995
583	1394	993
584	1397	991
585	1399	988
586	1401	986
587	1404	983
588	1406	981
589	1408	979
590	1411	976
591	1413	974
592	1416	971
593	1418	969
594	1420	966
595	1422	964
596	1424	961
597	1426	958
598	1428	956
599	1431	954
600	1433	951
601	1435	949
602	1437	946
603	1440	944
604	1442	941
605	1444	938
606	1446	936
607	1448	934
608	1451	931
609	1453	929
610	1455	926
611	1457	923
612	1459	921
613	1461	918
614	1463	916
615	1465	913
616	1467	911
617	1470	908
618	1472	906
619	1474	903
620	1476	901
621	1478	898
622	1480	896
623	1483	893
624	1485	891
625	1487	888
626	1489	885
627	1491	883
628	1493	880
629	1495	878
630	1497	875
631	1499	873
632	1501	870
633	1503	868
634	1505	865
635	1507	862
636	1509	860
637	1511	857
638	1513	855
639	1515	852
640	1517	850
641	1520	847
642	1522	845
643	1524	842
644	1526	840
645	1528	837
646	1530	835
647	1532	832
648	1534	830
649	1536	827
650	1539	825
651	1541	822
652	1543	820
653	1545	817
654	1547	815
655	1549	812
656	1551	810
657	1553	807
658	1555	804
659	1557	802
660	1559	799
661	1562	797
662	1564	795
663	1566	792
664	1568	789
665	1570	787
666	1572	784
667	1574	782
668	1576	779
669	1578	777
670	1580	775
671	1582	772
672	1584	769
673	1586	767
674	1588	765
675	1591	762
676	1593	760
677	1595	757
678	1597	755
679	1599	752
680	1601	750
681	1604	747
682	1606	745
683	1608	742
684	1610	740
685	1612	738
686	1614	735
687	1616	733
688	1618	730
689	1620	728
690	1623	725
691	1625	723
692	1627	720
693	1629	718
694	1631	716
695	1634	713
696	1636	711
697	1638	708
698	1641	706
699	1643	704
700	1645	701
701	1647	699
702	1648	696
703	1650	694
704	1653	691
705	1655	689
706	1657	686
707	1659	684
708	1661	681
709	1663	679
710	1665	677
711	1667	674
712	1669	672
713	1672	669
714	1674	667
715	1676	664
716	1678	662
717	1680	659
718	1682	657
719	1684	655
720	1686	652
721	1688	650
722	1691	647
723	1693	645
724	1695	642
725	1697	640
726	1699	638
727	1701	635
728	1703	633
729	1705	630
730	1707	628
731	1709	626
732	1712	623
733	1714	621
734	1716	618
735	1718	616
736	1720	614
737	1722	611
738	1724	609
739	1727	606
740	1729	604
741	1731	601
742	1733	599
743	1735	597
744	1737	594
745	1739	592
746	1741	589
747	1744	587
748	1746	585
749	1748	582
750	1750	580
751	1753	578
752	1755	575
753	1757	573
754	1760	571
755	1762	568
756	1764	566
757	1766	563
758	1769	561
759	1771	559
760	1773	557
761	1775	554
762	1777	552
763	1779	549
764	1782	547
765	1784	545
766	1787	542
767	1789	540
768	1791	538
769	1793	535
770	1795	533
771	1797	530
772	1799	528
773	1802	526
774	1804	523
775	1806	521
776	1809	519
777	1811	516
778	1813	514
779	1815	512
780	1818	509
781	1820	507
782	1822	505
783	1824	502
784	1826	500
785	1828	497
786	1830	495
787	1832	493
788	1835	490
789	1837	488
790	1840	486
791	1842	483
792	1844	481
793	1846	478
794	1848	476
795	1851	474
796	1853	472
797	1855	469
798	1857	467
799	1859	464
800	1861	462
801	1863	460
802	1866	457
803	1868	455
804	1870	453
805	1873	450
806	1875	448
807	1877	446
808	1879	443
809	1882	441
810	1885	439
811	1887	436
812	1889	434
813	1891	432
814	1893	429
815	1895	427
816	1899	425
817	1901	422
818	1903	420
819	1905	418
820	1907	415
821	1909	413
822	1911	411
823	1914	408
824	1916	406
825	1918	404
826	1920	401
827	1923	399
828	1925	397
829	1927	394
830	1929	392
831	1932	390
832	1934	387
833	1936	385
834	1938	383
835	1940	380
836	1942	378
837	1944	375
838	1947	373
839	1949	371
840	1951	369
841	1954	366
842	1956	364
843	1958	361
844	1960	359
845	1963	357
846	1965	355
847	1968	352
848	1970	350
849	1972	348
850	1974	345
851	1976	343
852	1978	340
853	1981	338
854	1983	336
855	1986	334
856	1988	331
857	1989	329
858	1991	326
859	1993	324
860	1995	322
861	1998	319
862	2000	317
863	2002	315
864	2004	312
865	2007	310
866	2009	308
867	2011	305
868	2014	303
869	2017	301
870	2019	299
871	2021	296
872	2023	294
873	2025	292
874	2028	289
875	2030	287
876	2033	285
877	2035	282
878	2037	280
879	2039	278
880	2041	275
881	2043	273
882	2047	271
883	2049	268
884	2051	266
885	2054	264
886	2056	261
887	2058	259
888	2061	257
889	2063	255
890	2065	252
891	2067	250
892	2069	247
893	2071	245
894	2073	243
895	2076	240
896	2080	238
897	2082	236
898	2084	234
899	2086	231
900	2088	229
901	2090	227
902	2093	224
903	2095	222
904	2097	220
905	2099	217
906	2101	215
907	2104	213
908	2106	210
909	2108	208
910	2111	206
911	2113	203
912	2115	201
913	2117	199
914	2119	196
915	2121	194
916	2124	192
917	2128	190
918	2130	187
919	2133	185
920	2136	183
921	2139	181
922	2142	178
923	2145	176
924	2147	174
925	2150	171
926	2152	169
927	2155	167
928	2157	164
929	2161	162
930	2164	160
931	2167	158
932	2169	155
933	2171	153
934	2174	151
935	2176	148
936	2178	146
937	2181	144
938	2183	141
939	2185	139
940	2187	137
941	2189	134
942	2192	132
943	2194	130
944	2196	127
945	2199	125
946	2201	123
947	2203	120
948	2205	118
949	2208	116
950	2210	113
951	2212	111
952	2214	109
953	2216	106
954	2218	104
955	2221	102
956	2225	99
957	2227	97
958	2230	95
959	2232	93
960	2234	90
961	2236	88
962	2239	86
963	2241	83
964	2243	81
965	2245	79
966	2247	76
967	2250	74
968	2252	72
969	2255	69
970	2257	67
971	2259	65
972	2261	62
973	2263	60
974	2266	58
975	2268	55
976	2270	53
977	2273	51
978	2275	48
979	2277	46
980	2279	44
981	2281	41
982	2283	39
983	2285	37
984	2288	34
985	2290	32
986	2292	30
987	2294	27
988	2297	25
989	2299	23
990	2301	20
991	2304	18
992	2306	16
993	2308	13
994	2310	11
995	2312	9
996	2315	6
997	2317	4
998	2320	2
999	2322	0
